Health,DistanceToPlayer,PlayerHealth,isAttacked,isFinalBoss,DistanceToBuddies,Action
High,Close,High,True,True,Far,Attack
High,Close,High,True,True,Far,Attack
High,Close,High,False,True,Far,Heal
High,Close,Medium,True,True,Far,Attack
High,Close,Medium,True,True,Far,Attack
High,Close,Medium,False,True,Far,Attack
High,Close,Low,True,True,Far,Attack2
High,Close,Low,True,True,Far,Attack2
High,Close,Low,False,True,Far,Attack2
High,Close,High,True,True,Far,Attack
High,Medium,High,True,True,Far,Attack
High,Medium,High,False,True,Far,Heal
High,Medium,High,False,True,Far,Ignore
High,Medium,Medium,True,True,Far,Attack
High,Medium,Medium,False,True,Far,Approach
High,Medium,Medium,True,True,Far,Attack
High,Medium,Low,True,True,Far,Attack2
High,Medium,Low,False,True,Far,Approach
High,Medium,Low,True,True,Far,Approach
High,Medium,High,True,True,Far,Attack
High,Far,High,False,True,Far,Ignore
High,Far,High,False,True,Far,Ignore
High,Far,High,False,True,Far,Ignore
High,Far,Medium,False,True,Far,Ignore
High,Far,Medium,False,True,Far,Ignore
High,Far,Medium,False,True,Far,Ignore
High,Far,Low,False,True,Far,Approach
High,Far,Low,False,True,Far,Approach
High,Far,Low,False,True,Far,Approach
High,Far,High,False,True,Far,Ignore
Medium,Close,High,True,True,Far,Attack
Medium,Close,High,False,True,Far,Heal
Medium,Close,High,False,True,Far,Heal
Medium,Close,Medium,True,True,Far,Attack
Medium,Close,Medium,False,True,Far,Heal
Medium,Close,Low,True,True,Far,Attack2
Medium,Close,Low,False,True,Far,Heal
Medium,Close,High,True,True,Far,Attack
Medium,Medium,High,False,True,Far,Approach
Medium,Medium,High,True,True,Far,Attack
Medium,Medium,Medium,True,True,Far,Attack
Medium,Medium,Medium,False,True,Far,Heal
Medium,Medium,Medium,False,True,Far,Heal
Medium,Medium,Low,True,True,Far,Attack2
Medium,Medium,Low,False,True,Far,Approach
Medium,Medium,Low,True,True,Far,Attack2
Medium,Medium,High,True,True,Far,Heal
Medium,Far,High,False,True,Far,Ignore
Medium,Far,High,False,True,Far,Ignore
Medium,Far,High,False,True,Far,Ignore
Medium,Far,Medium,False,True,Far,Ignore
Medium,Far,Medium,False,True,Far,Ignore
Medium,Far,Medium,False,True,Far,Ignore
Medium,Far,Low,False,True,Far,Attack2
Medium,Far,Low,False,True,Far,Attack2
Medium,Far,Low,False,True,Far,Attack2
Medium,Far,High,False,True,Far,Ignore
Low,Close,High,True,True,Far,Attack
Low,Close,High,False,True,Far,Heal
Low,Close,Medium,True,True,Far,Attack
Low,Close,Medium,False,True,Far,Heal
Low,Close,Low,True,True,Far,Attack
Low,Close,Low,False,True,Far,Heal
Low,Close,High,True,True,Far,Attack
Low,Medium,High,False,True,Far,Heal
Low,Medium,High,True,True,Far,Attack
Low,Medium,Medium,True,True,Far,Attack
Low,Medium,Medium,False,True,Far,Heal
Low,Medium,Medium,True,True,Far,Attack
Low,Medium,Low,True,True,Far,Attack2
Low,Medium,Low,False,True,Far,Heal
Low,Medium,Low,True,True,Far,Attack2
Low,Medium,High,True,True,Far,Attack
Low,Far,High,False,True,Far,Heal
Low,Far,High,True,True,Far,Attack
Low,Far,Medium,False,True,Far,Heal
Low,Far,Medium,True,True,Far,Attack
Low,Far,Low,False,True,Far,Heal
Low,Far,Low,True,True,Far,Attack2
Low,Far,High,False,True,Far,Heal
High,Medium,Low,False,True,Far,Approach
Low,Close,Medium,True,True,Far,Heal 
Low,Close,High,True,True,Far,Heal
Low,Close,Low,True,True,Far,Heal
Medium,Close,Medium,True,True,Far,Heal
Medium,Close,High,True,True,Far,Heal
Medium,Close,Low,True,True,Far,Heal  
Low,Close,Medium,True,True,Far,Heal 
Low,Close,High,True,True,Far,Heal
Low,Close,Low,True,True,Far,Heal
